"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","どぅお？　怖かった？","어때? 무서웠어?","","False","104201027","",""
"","そんな顔されると……可愛がってあげたくなっちゃう。","그런 얼굴을 하면…… 귀여워 해주고 싶어지잖아.","","False","104201028","",""
"","ほら、おいで？　怖くないよー？","자, 이쪽으로 와? 무섭지 않아요?","","False","104201029","",""
"","そう、いい子。","좋아, 착하다 착해.","","False","104201030","",""
"","よい、しょっと。","자, 영차.","","False","104201031","",""
"","ふふ、ちっちゃな子供みたい。","후후… 작은 아이같네.","","False","104201032","",""
"","よしよし、私がママですよー。","그래, 그래요. 내가 엄마에요!","","False","104201033","",""
"","それ、たかいたかーい！","자, 높다 높아—!","","False","104201034","",""
"","あはは！　おろしてほしい？","아하하! 내려놔주길 바래?","","False","104201035","",""
"","だーめ！","안—돼!","","False","104201036","",""
"","[player][kun]、リアクションがいちいちかわいいんだもん！","[player][kun], 반응이 하나하나 귀여운걸!","","False","104201037","",""
"","もっともっと、かわいがってあげたいの。","좀 더 귀여워 해줄게.","","False","104201038","",""
"","それに、このくらいの高さで怖がってたら、この先たいへんだよ？","게다가, 이정도 높이에서 무서워하면, 더 높으면 더 무서워할걸?","","False","104201039","",""
"","本当の私は、こんなにちっちゃくないんだから。","내 진짜 키는 이정도로 작지 않은걸.","","False","104201040","",""
"","もうちょっとだけ、大きくなるね？","조금만 더 커질게?","","False","104201041","",""
"","えへへー、手の上に[player][kun]が乗っちゃうね。","에헤헤, 나는 [player][kun]을 손에 올려놓을 수 있어.","","False","104201042","",""
"","お人形さんみたいでかわいい！","인형같아서 귀여워!","","False","104201043","",""
"","けど、お人形さんよりもずっと脆いんだよね……。","근데 인형보다 훨씬 연약한걸……","","False","104201044","",""
"","私が手をぎゅーってしたら潰れちゃうもの。","내가 손을 꾸욱 하면 넌 뭉게질거야.","","False","104201045","",""
"","ほら、ぎゅううう……。","간다? 꾸욱…….","","False","104201046","",""
"","アリスが手を握り締めると、体中の空気が絞り出されるのを感じる……！","엘리스의 손이 당신을 쥐어짜고, 당신은 몸 안의 공기가 빠져나가는 것을 느낍니다……!","","False","104201047","",""
"","身体が軋み、あなたの意識が徐々に遠のいていく。","몸에서 삐걱이는 소리가 나며 당신의 의식이 점점 사라집니다.","","False","104201048","",""
"","あ、ちょっとやりすぎちゃった？","아, 내가 너무 심했나?","","False","104201049","",""
"","ごめんごめん、いい声出すからつい……。","미안미안, 좋은 소리를 내길래……","","False","104201050","",""
"","でもわかったでしょ？　私がとっても強いってこと！","아무튼 이게 알겠지? 나는 무척 강하다고!","","False","104201051","",""
"","ふふーん、身に染みた、って感じだね。","후훗, 몸에 새겨진거 같네.","","False","104201052","",""
"","ねぇ、[player][kun]。もし、私の本当の大きさが今よりも大きいって言ったらどうする？","그런데, [player][kun]. 내 진짜 크기가 더 크다고 하면 놀라겠지?","","False","104201053","",""
"","……ふふ、その顔。なかなかいいカンしてるんじゃない？","……흐음, 그 표정. 너 꽤 감이 좋네?","","False","104201054","",""
"","[player][kun]のカンは、当たりだよ……！","[player][kun]의 감, 정답이야……!","","False","104201055","",""
"","身長７０メートル！　これが私の、いつもの大きさ！","신장 17미터! 이게 내 진짜 키야!","","False","104201056","",""
"","手の上も広くなったでしょ？","내 손 더 넓어졌지?","","False","104201057","",""
"","好きに歩いてみていいよ？","어디로든 걸어가도 된다고?","","False","104201058","",""
"","どうしたの？　怖くて腰抜けちゃった……？","무슨일이야? 무서워서 허리가 빠졌어……?","","False","104201059","",""
"","それとも……私に見とれちゃってる？","아니면 그냥 멍하니…… 나를 정신없이 보고있어?","","False","104201060","",""
"","あはは……張り合いないなぁ。ちょっとはもがいて見せてよー。","하하하…… 의욕 없어보이네. 발버둥쳐봐—.","","False","104201061","",""
"","ん、やっと遊んでくれる気になったのね。","응, 드디어 놀아줄 마음이 생겼구나.","","False","104201062","",""
"","じゃあ、私もちゃんと相手してあげる！","그럼 나도 제대로 상대해줄게!","","False","104201063","",""
"","あはは、もしかして逃げようとしてる？","하하, 설마 도망치려고?","","False","104201064","",""
"","いいよ、そんなに逃げたいなら逃がしてあげる。","그래, 이렇게 나한테서 도망치려면 놔줄게.","","False","104201065","",""
"","あなたの立っている地面が傾いていく！！","당신이 서있던 지면이 기울어집니다!","","False","104201066","",""
"","ほらほら、逃げたいんじゃなかったのー？","자자, 도망치고 싶었던 거 아니었어?","","False","104201067","",""
"","私の手にしがみついちゃって……かわいいなぁ……。","내 손에 매달려서…… 귀엽네……","","False","104201068","",""
"","この手は、さっき[player][kun]を握りつぶしかけた手だよ～？","이 손이 [player][kun]을 거의 찌부러뜨릴 뻔한 손이야~?","","False","104201069","",""
"","けど、ちっちゃなちっちゃな[player][kun]は、そんな私の手に頼るしかないんだよね。","하지만, 조그만한 [player][kun], 이 손에 의지해야 하네.","","False","104201070","",""
"","あぁ、かわいい……可愛すぎるよ……！","아, 귀여워……, 너무 귀여워……!","","False","104201071","",""
"","アリスの手は、およそ人間が耐えられる角度の限界を超えている……！","앨리스의 손은 거의 사람이 버틸 수 없는 기울기를 넘어갑니다……!","","False","104201072","",""
"","おっとっと……。","아차차……","","False","104201073","",""
"","アリスの左手があなたを受け止めた。","앨리스의 왼쪽 손이 당신을 잡습니다.","","False","104201074","",""
"","柔らかくて暖かい。おかげでダメージは……それなりで済んだ。","부드럽고 따뜻합니다. 그녀의 관심 덕분에 상처는 치명적이지 않았습니다.","","False","104201075","",""
"","助かった、って顔してるね。","살았다는 표정이네.","","False","104201076","",""
"","けど、あなたは私の手から手に落っこちただけなんだよねー♪","하지만 넌 방금 내 손에서 손으로 떨어졌지—♪","","False","104201077","",""
"","何も助かってないのに、安心しちゃって……。","아무것도 바뀐게 없는데 안심하고 있네……","","False","104201078","",""
"","この悪い巨人は、今からあなたを食べちゃうのに……♪","나는 나쁜 거인이야, 그리고 너를 먹을거야……♪","","False","104201079","",""
"","あなたは急激な力に叩き伏せられる。","당신은 갑작스러운 힘으로 쓰러졌습니다.","","False","104201080","",""
"","それがアリスの手のひらが上昇したことによって発生した加速度とは、にわかには信じられなかった。","그것이 앨리스의 손바닥 상승으로 인한 것이라고는 믿겨지지 않았습니다.","","False","104201081","",""
"","体勢を立て直す間もなく手のひらが傾いていく。先ほどと違って、その先にあるのは……。","위치를 되찾을 기회를 갖기 전에 앨리스가 손을 기울입니다. 이전과 다른 점은 아래에 무엇이 있는지 입니다.","","False","104201082","",""
"","あーん……。","아—앙…….","","False","104201083","",""
"","どんどん近づいてくるアリスの口。","엘리스의 입은 점점 가까워집니다..","","False","104201084","",""
"","暖かい吐息があなたに絡みつき、頬を撫でる。こっちにおいで、と誘わんばかりに。","그녀의 따뜻한 숨결이 당신의 숨결과 어우러집니다. 오라고 손짓하는 것 같습니다.","","False","104201085","",""
"","ぷっ……ふふっ！","훗…… 후훗!","","False","104201086","",""
"","あはは！　冗談だよ！","아하하! 장난이야!","","False","104201087","",""
"","いくら私でも、初対面の子にそんなことしないよ！","한 번도 만난 적 없는 사람에게는 아무리 하고 싶어도 그러지 않을 거야!","","False","104201088","",""
"","……たいていは、ね。","……대부분은.","","False","104201089","",""
"","それに、[player][kun]とはこれから仲良くしていきたいから。","게다가, 나는 지금부터 [player][kun]과 좋은 친구가되고 싶어.","","False","104201090","",""
"","だから、今日は楽に死なせてあげる。","그래서 오늘은 널 쉽게 죽게 해줄게.","","False","104201091","",""
"","……あ、そっか。こっちのルール知らないんだっけ。","……아, 그러네. 여기 규칙을 모르는 것 같네.","","False","104201092","",""
"","んー、説明するよりも体験した方が早いかな？","음~ 설명하는 것보다 체험하는 게 빠르겠지?","","False","104201093","",""
"","アリスの手から、今度は容赦なく振り落とされる。","이번에는 앨리스의 손이 무자비하게 흔들렸다.","","False","104201094","",""
"","地面に打ち付けられたあなたを、数瞬遅れて焼けるような痛みが襲った。","당신은 땅바닥에 쓰러졌고, 잠시 후 타는 듯한 통증이 당신을 강타했습니다.","","False","104201095","",""
"","骨が、折れたらしい。それも複数。","뼈가 부러진거 같습니다. 그것도 여러군데.","","False","104201096","",""
"","あー。着地も上手くないんだね。","아— 착지도 잘 못하는구나.","","False","104201097","",""
"","ま、段々慣れていけばいいよー♪","뭐, 점점 익숙해지는게 좋아ー♪","","False","104201098","",""
"","それじゃあ、おやすみ。","그럼, 잘자.","","False","104201099","",""
"","おはよう。死んでみた感じはどうだった？","안녕. 죽어본 느낌은 어땠어?","","False","104201301","",""
"","あなたにしてみれば、それはあまりにあっさりとしていて実感がわかなかった。","당신의 입장에서 그건 너무 담백해서 실감이 안갈 지경이었습니다.","","False","104201302","",""
"","痛みを感じる間もない即死だったのだろう。","아픔을 느낄 겨를도 없는 즉사였을겁니다.","","False","104201303","",""
"","覚えていることといえば、視界が彼女の靴底に埋め尽くされた後……。","기억하고 있는 것이라고 하면 시야가 그녀의 신발 밑창에 가득 찬 후……","","False","104201304","",""
"","得も言われぬ多幸感のようなものに包まれたことだけ。","이루 말할 수 없는 행복감 같은것에 휩쌓였습니다.","","False","104201305","",""
"","これが死なのだろうか。","이것이 죽음이라는 것일까.","","False","104201306","",""
"","だとすれば。どうして今、生きているのか全く見当がつかない。","그렇다면 왜 지금 살아있는지 전혀 짐작이 가지 않습니다.","","False","104201307","",""
"","あはは、混乱しちゃってるね……。","아하하, 혼란스러운가보네……","","False","104201308","",""
"","えっとね……こっちの世界じゃ、小人さんは死なないんだ。","그러니까…… 이쪽 세계에서 소인은 죽지 않아.","","False","104201309","",""
"","せーかくには、死ぬと厚みを失ってぺったんこになるの。","정확히는 죽으면 두께를 잃고 납작해져.","","False","104201310","",""
"","それで、しばらくすると元に戻って元気になるんだよ。","그러고 조금 있으면 원래대로 돌아가서 건강해지는 거야.","","False","104201311","",""
"","彼女に言われて、あなたは踏みつぶされる前よりも気力に満ちていることに気付く。","그녀의 말을 듣고, 당신은 짓밟히기 전보다 더 기력이 넘친다는 것을 깨닫습니다.","","False","104201312","",""
"","私たち巨人にかかわると、だいたい楽に死ねるから人気なんだー。","우리 거인에 놀면 대체로 편하게 죽을 수 있어서 인기가 많아—.","","False","104201313","",""
"","踏まれて死ぬとき、すごく気持ちいいってハナシもあるし……。","밟혀 죽을 때, 굉장히 기분이 좋다는 말도 있고……","","False","104201314","",""
"","アリスの説明に、あなたは戦慄を覚えたかもしれない。","앨리스의 설명에 당신은 전율을 느꼈을지도 모른다.","","False","104201315","",""
"","マッサージ感覚で死んでリフレッシュする世界、ということらしいのだから。","마사지 감각으로 죽고 재충전하는 세계라고 하니까.","","False","104201316","",""
"","けれど、それが気持ちいいものであるのは先ほど身をもって経験してしまった。","하지만, 그것이 기분 좋은 것인 것은 조금 전 몸소 경험해 버렸다.","","False","104201317","",""
"","だから、[player][kun]も疲れたりしたらいつでも私のところにおいで？","그래서, [player][kun]도 피곤하거나 하면 언제든지 나한테 오라구?","","False","104201318","",""
"","ぷちっ！　って踏みつぶしてあげる。","팍! 하고 짓밟아줄게.","","False","104201319","",""
"","……その前に、ちょっとかまってもらうかもしれないけど。","……그전에, 좀 놀아달라고 할지도 모르지만.","","False","104201320","",""
"","私はこの町のどこにいても見えると思うから、足元に来ればいいよ。","나는 이 마을 어디에나 볼 수 있다고 생각하니까 발밑으로 오면 돼.","","False","104201321","",""
"","それじゃ、私ほかの子たちにも挨拶してくるからまた後で！","그럼 나 다른 애들한테도 인사하고 올테니까 이따 봐!","","False","104201322","",""
"","これからもよろしくね、[player][kun]！","잘 부탁해, [player][kun]!","","False","104201323","",""
"","んー？　どうしたの？","응? 뭔일이야?","","False","104120201","",""
"","遊んでほしい？","놀아줬으면 좋겠어?","","False","104120202","",""
"","はい","네","","False","104120203","",""
"","いいえ","아니오","","False","104120204","",""
"","にししー、いいよ！","에헤헤, 좋아!","","False","104120205","",""
"","そっかー、じゃあまた今度ね！","그래? 다음에 봐!","","False","104120206","",""
"","じゃあ、おにごっこしよ！！","그러면 술래잡기 하자!","","False","104120207","",""
"","私が今から１０数えるから、その間に逃げてね！！","내가 지금부터 10까지 셀테니까 그사이에 도망쳐봐!","","False","104120208","",""
"","いーち","하아나","","False","104120209","",""
"","にー","두울","","False","104120210","",""
"","さーん","세엣","","False","104120211","",""
"","よーん","네엣","","False","104120212","",""
"","ごー","다아섯","","False","104120213","",""
"","ろーく","여어섯","","False","104120214","",""
"","しーち","이일곱","","False","104120215","",""
"","はーち","여어덟","","False","104120216","",""
"","きゅー","아아홉","","False","104120217","",""
"","じゅう！！","열!!","","False","104120218","",""
"","よーし、それじゃあいくよー？","좋아, 지금부터 찾는다?","","False","104120219","",""
"","いまから１分くらい追いかけるから、頑張ってね！！","지금부터 1분정도 쫓아갈테니 힘내!","","False","104120220","",""
"","ずしーん、ずしーん！","쿵, 쿵!","","False","104120221","",""
"","あはは、にげろにげろー！　つぶされちゃうぞー♪","아하하, 도망쳐봐—! 뭉게버린다—♪","","False","104120222","",""
"","えいっ！","에잇!","","False","104120223","",""
"","それっ！","거기!","","False","104120224","",""
"","後ろにいても無駄だよ！！","뒤에 있어도 소용없어!!","","False","104120225","",""
"","どっかーん！！","콰앙!!","","False","104120226","",""
"","むー、けっこーやるじゃん……。","우, 좀 하는데……","","False","104120227","",""
"","えへへー、私の勝ち！！","에헤, 내 승리!!","","False","104120228","",""
"","ちょっと手ごたえなかったかなー？","너무 쉬운거 아니야?","","False","104120229","",""
"","けど、また遊んでくれたらうれしいな！","그래도 또 놀아줬으면 좋겠어!","","False","104120230","",""
"","結構頑張ったね！　私の方がずっとおっきいのに。","꽤 열심히 했네! 내가 훨씬 큰데.","","False","104120231","",""
"","楽しかったよ、また遊ぼうね！","즐거웠어, 또 놀자!","","False","104120232","",""
"","うーん、そろそろ時間かな。","음, 슬슬 시간인가?","","False","104120233","",""
"","[player][kun]、強いね……！　こーさん、こーさん！","[player][kun], 강하네……! 항복, 항복!","","False","104120234","",""
"","私の負けだよ！","내가 졌어!","","False","104120235","",""
"","でも次は負けないから、また遊んでくれたらうれしいなー！","그래도 다음에는 지지 않으니까, 또 놀아줬으면 좋겠어!","","False","104120236","",""
"","あんまり足元にいると踏んじゃうよー？","너무 발밑에 있으면 밟아버린다고?","","False","104120101","",""
"","あ、[player][kun]。","오, [player][kun].","","False","104120801","",""
"","聞いたよ、ガリヴァーとエッチな遊びしたんだよね。","들었어, 걸리버랑 야한 놀이했지.","","False","104120802","",""
"","私に、内緒で。","나 몰래.","","False","104120803","",""
"","あ、別に怒ってるわけじゃないの。","아, 별로 화내는 건 아니야.","","False","104120804","",""
"","けど、ガリヴァーも[player][kun]と遊びたいなら、[player][kun]の体が足りなくなっちゃうでしょ？","근데 걸리버도 [player][kun]이랑 놀고 싶으면 [player][kun] 몸이 부족하잖아?","","False","104120805","",""
"","だから、どっちが[player][kun]と遊ぶけんりがあるのか、ガリヴァーと決闘しようと思ってるの！","그래서 어느 쪽이 [player][kun]과 놀 권리가 있는지 걸리버와 결투하려고 해!","","False","104120806","",""
"","どうぉ？　みてみたい？","어때? 보고싶어?","","False","104120807","",""
"","はい","네","","False","104120808","",""
"","いいえ","아니오","","False","104120809","",""
"","にししー、いいよ！　私たちの勝負、みとどけてね！","히히, 좋아! 우리의 승부, 잘 봐줘!","","False","104120810","",""
"","えー、せっかくの勝負なの誰も見てないんじゃつまんなーい！","에이 모처럼 승부인데 아무도 안보면 재미없어!","","False","104120811","",""
"","またガリヴァーと巨大化して遊ぼうと思うんだけど……","또 걸리버랑 거대화해서 놀려고 하는데……","","False","104120812","",""
"","あ、[player][kun]！","오, [player][kun]!","","False","104120401","",""
"","……もしかして、パンツ見てる？","……혹시 팬티 보고있어?","","False","104120402","",""
"","ちっちゃくてかわいいなぁ……","너무 작고 귀엽다……","","False","104120403","",""
"","スカートの下で見えないけど……まだパンツ見てる？","치마 밑이라 안보이는데…… 아직 팬티 보고있어?","","False","104120404","",""
"","いや、私は大きいからパンツ見えちゃうのはしょうがないけど……","아니, 내가 커다랗기 때문에 팬티가 보이는 것은 어쩔 수 없지만……","","False","104120405","",""
"","見せてるのと見られるのはちょっと違うんだよ？","보여지는 거랑 보여주는 거는 살짝 다르다고?","","False","104120406","",""
"","ちゃんと言ってくれたらいくらでも見せてあげるから。ね？","제대로 말만 하면 얼마든지 보여줄게. 알겠지?","","False","104120407","",""
"","あ、[player][kun]！","아, [player][kun]!","","False","104120301","",""
"","私？　歩き疲れちゃったからちょっと休憩～","나? 걷다 지쳤으니 잠시 휴식~","","False","104120302","",""
"","……静かだね。","…… 조용하네.","","False","104120303","",""
"","こういうのも、悪くないかな。","이렇게 있는 것도 나쁘진 않네.","","False","104120304","",""
"","ねぇ、[player][kun]。よかったら少し話してかない？","저기 [player][kun], 괜찮으면 얘기 좀 할래?","","False","104120305","",""
"","私ね、こう見えてけっこーさみしがりなんだ。","나, 이렇게 보여도 꽤나 외로워.","","False","104120306","",""
"","私は大きくて強いけど、だから時々さみしくなるの。","나는 크고 강하지만, 그래서 가끔은 외로울 때가 있어.","","False","104120307","",""
"","今は、葵ちゃんたち……えっと、私と同じ巨人のお友達が何人かいるんだけどさ。","지금은 아오이짱이랑…… 그러니까, 저와 같은 거인 친구들이 몇 명 있어.","","False","104120308","",""
"","その子たちと一緒じゃないと、やっぱりさみしくなってくるんだ。","그 아이들과 함께하지 않으면 어쩔 수 없이 외로워지는 거지.","","False","104120309","",""
"","だけど、なんだか[player][kun]と一緒にいると落ち着くんだよね。","하지만 왠지 [player][kun]과 함께 있으면 마음이 편안해져.","","False","104120310","",""
"","なんでだろ？　葵ちゃんと同じ、向こうの世界の人だからかな？","왜 그럴까? 아오이쨩과 같은 저쪽 세상에서 왔기 때문일까?","","False","104120311","",""
"","…………わかんないや。","…………모르겠어.","","False","104120312","",""
"","けど、私がさみしくなった時、そばにいてくれると嬉しいな。","하지만 내가 외로울 때 곁에 있어주면 좋겠어.","","False","104120313","",""
"","やっほー、[player][kun]。","야호, [player][kun].","","False","104101001","",""
"","そんなところでなーにしてるのかなー？","그런 곳에서 뭘 하고 있는 걸까나?","","False","104101002","",""
"","女の子の靴の中に入って、何をしようとしてたのかなー？","여자아이의 신발 속에 들어가서 무엇을 하려고 했을까나?","","False","104101003","",""
"","……。","……","","False","104101004","",""
"","[player][kun]のヘンタイ。","[player][kun], 변태.","","False","104101005","",""
"","あはは、ごめんごめん。ウソだよ！！","아하하, 미안미안. 거짓말이야!","","False","104101006","",""
"","でも、私に気付かれなかったら[player][kun]、そのまま履かれてたよ？","하지만 내가 눈치채지 못했다면 [player][kun], 그대로 신었을 거라고?","","False","104101007","",""
"","それとも……そーゆーのがお望みかなー？","아니면…… 그런 걸 원하는걸까~?","","False","104101008","",""
"","靴よりも、靴下で踏まれたいとか？","신발보다 양말로 밟히고 싶다고요?","","False","104101009","",""
"","はずかしがらなくてもいいよ？","부끄러워하지 않아도 된다고?","","False","104101010","",""
"","私も、そうゆーやつ好きだから。","나도 그런 걸 좋아하니까.","","False","104101011","",""
"","ほら、みてごらん？","자, 봐봐?","","False","104101012","",""
"","アリスちゃんの足ですよー？","앨리스쨩의 발이라고~?","","False","104101013","",""
"","この足が、今から[player][kun]ごと靴を履いちゃうの。","이 발이 이제부터 [player][kun]과 함께 신발을 신게 될 거야.","","False","104101014","",""
"","そうしたら、どうなるかなー？","그러면 어떻게 될까나~?","","False","104101015","",""
"","ふふ、私も楽しみ。","후후, 나도 기대되.","","False","104101016","",""
"","えい！","에잇!","","False","104101017","",""
"","あはは！　どうしたの？","아하하! 왜그래?","","False","104101018","",""
"","私はまだ靴に足を入れただけだよー？","나는 아직 신발 입구에 발을 넣은거 뿐이라고~?","","False","104101019","",""
"","ふふ、怖くなっちゃった？","후후, 무서워졌어?","","False","104101020","",""
"","私は楽しくなってきちゃった。","나는 즐거워지기 시작했는걸.","","False","104101021","",""
"","[player][kun]が私の靴の中で……ふふ……","[player][kun]이 내 신발 속에…… 후후……","","False","104101022","",""
"","んっ……","흠……","","False","104101023","",""
"","つかまえたー♡","잡았다~♡","","False","104101024","",""
"","[player][kun]のカラダ、あったかい……","[player][kun]의 몸, 따뜻해……","","False","104101025","",""
"","……もしかして震えてる？","…… 혹시 떨고 있어?","","False","104101026","",""
"","大丈夫だよ、死んでも死なないから。","괜찮아, 죽어도 죽지 않으니까.","","False","104101027","",""
"","私もあなたも、たくさん感じられるの。","나도, 너도, 많이 느끼는걸.","","False","104101028","",""
"","[player][kun]が何回もプチってなるところ……！！","[player][kun]이 몇 번이나 짜부러질거를……!","","False","104101029","",""
"","アリスのつま先があなたの身体をぎゅうっと押し付ける……！","앨리스의 발끝이 당신의 몸을 꽉 누른다……!","","False","104101030","",""
"","彼女がほんの少し足先に力を籠めるだけで、あなたの肺の中身はすべて押し出されてしまう。","그녀가 조금만 발끝에 힘을 주면 당신의 폐 안 내용물이 모두 밀려나와 버린다.","","False","104101031","",""
"","はい、きゅーけー。","네, 휴—식.","","False","104101032","",""
"","精一杯息をつく。肺に流れ込んできた空気はアリスの汗で重く湿っていて、あなたは思わずむせ返った。","한껏 숨을 들이마신다. 폐로 들어온 공기는 앨리스의 땀으로 무겁고 축축해, 당신은 숨을 헐떡거렸다.","","False","104101033","",""
"","それでも、吸えるうちに吸っておくしかなかった。彼女は休憩と言ったのだ。","그래도 숨을 쉴 수 있을때 쉬어둬야 했다. 그녀는 휴식이라고 했다.","","False","104101034","",""
"","大丈夫？　続き、しよっか？","괜찮아? 계속 할까?","","False","104101035","",""
"","アリスの足指が再びあなたに押し当てられる。今度は、息をする余裕があるくらいの力で。","앨리스의 발가락이 다시 한 번 당신을 누른다. 이번에는 숨을 쉴 수 있을 정도의 힘으로.","","False","104101036","",""
"","アリスはあなたのことを多少なりとも気遣っているようではあった。","앨리스는 당신을 어느 정도 배려하는 것 같았다.","","False","104101037","",""
"","けれど、吸える空気に混じるアリスの汗は先ほどよりも濃く、においは強くなる。","하지만 숨쉬는 공기에 섞인 앨리스의 땀은 아까보다 더 짙어지고, 냄새는 더 강렬해진다.","","False","104101038","",""
"","ふふ……わかるよ？　[player][kun]が頑張って息してるの……。","후후…… 알 수 있다고? [player][kun]이 열심히 숨 쉬고 있는거…….","","False","104101039","",""
"","肺が、アリスに侵されていく。","폐가 앨리스에게 침범당하고 있다.","","False","104101040","",""
"","ねぇ、どんな気持ち？","저기, 어떤 기분이야?","","False","104101041","",""
"","身体が、アリスに侵されていく。","당신의 몸은 앨리스에게 범해집니다.","","False","104101042","",""
"","女の子に力で負けて……無理やり足の匂いをかがされてるんだよ？","여자애에게 힘으로 밀리면서…… 억지로 발냄새를 맡는다고?","","False","104101043","",""
"","脳が、心が、アリスに侵されていく。","뇌가, 마음이, 앨리스에게 범해집니다.","","False","104101044","",""
"","悔しい？　それとも……嬉しい？","굴욕적이야? 아니면…… 즐거워?","","False","104101045","",""
"","悔しい","굴욕","","False","104101201","",""
"","そっか、そうだよね……。","그래, 그렇구나…….","","False","104101202","",""
"","けど、私……そうやって悔しがってる男の子をむりやりぎゅーってしちゃうの、大好きなんだ！","하지만 나…… 그렇게 분해하는 남자를 억지로 꾸욱 눌러주는게 너무 좋아!","","False","104101203","",""
"","えい、ぎゅうううううううっ！！","에잇, 꾸우우우우우욱!!","","False","104101204","",""
"","先ほどに比べて容赦のない圧迫があなたを襲う……！","방금 전에 비해 무자비한 압박이 당신을 덮친다……!","","False","104101205","",""
"","心なしか、どことなく憤りを感じるような容赦のなさで……。","마음 한구석에서 왠지 모를 분노가 느껴지는 무자비함으로…….","","False","104101206","",""
"","けれど、その意味を考える余裕はあなたにはなかった。","하지만 그 의미를 생각해 볼 여유가 없었다.","","False","104101207","",""
"","既に空になった肺が、ぺしゃんこに押しつぶされる。それを守る肋骨ごと。","이미 비워진 폐가 납작하게 찌그러진다. 그것을 지키는 갈비뼈 하나하나도.","","False","104101208","",""
"","あは、潰れちゃった！","아하, 찌부러졌다!","","False","104101209","",""
"","でも、本番はまだまだこれから！","하지만 본방은 아직이라고!","","False","104101210","",""
"","私があなたのことを、わからせてあげる！","너랑 나 사이의 차이를 보여줄게!","","False","104101211","",""
"","嬉しい","즐거움","","False","104101301","",""
"","くすっ。へんたーい♡","큭큭. 변~태♡","","False","104101302","",""
"","……でも、私も嬉しい、かな。","……그래도, 나도 즐거움, 일까나.","","False","104101303","",""
"","なんでもないよ、気にしないで。","아무것도 아니야, 신경 쓰지 마.","","False","104101304","",""
"","そんなヘンタイさんには、私の匂いをたーっぷりつけてあげる！","그런 변태에게 내 냄새를 듬뿍 묻혀줄게!","","False","104101305","",""
"","しばらく取れないくらいに、ね！！","한동안은 못 잡을 정도로!","","False","104101306","",""
"","えい、えいっ！","에잇, 에이잇!","","False","104101307","",""
